,TEAM,TEAM A,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,DAVIDSON,KALINOSKI.TYLER,1099:32,1846.6,66.8353,0.16,0.1062,0.86,1.173,0.98,1.0668,0.31,0.5587,0.94,0.3852,0.6,0.1641,0.87,0.2963,0.6,0.3988,0.9,0.5172,0.36,0.261,0.99,0.1895,0.61,0.2869,0.5,0.4304,0.05
1,DAVIDSON,SULLIVAN.BRIAN,1004:04,1698.36,67.3092,0.23,0.0579,0.73,1.1664,0.98,1.1086,0.1,0.5458,0.89,0.4116,0.76,0.1513,0.95,0.2919,0.53,0.3744,0.8,0.5343,0.18,0.2442,0.99,0.1868,0.54,0.3064,0.25,0.4702,0.01
2,DAVIDSON,DRONEY.TOM,969:06,1623.0,66.8698,0.16,0.0693,0.75,1.1374,0.95,1.0681,0.3,0.5505,0.93,0.3878,0.61,0.175,0.67,0.2873,0.5,0.3715,0.79,0.5058,0.54,0.2621,0.99,0.1738,0.3,0.2793,0.6,0.4518,0.02
3,DAVIDSON,CZERAPOWICZ.CHRIS,820:24,1334.8,65.1902,0.04,0.082,0.82,1.147,0.96,1.065,0.31,0.5454,0.89,0.4092,0.75,0.1581,0.91,0.2899,0.52,0.3447,0.59,0.508,0.52,0.2477,0.99,0.1861,0.54,0.2962,0.37,0.4456,0.03
4,DAVIDSON,BROOKS.DE'MON,721:32,1202.84,65.7298,0.07,0.1895,0.97,1.2421,0.99,1.0525,0.39,0.5886,0.99,0.3634,0.45,0.1638,0.88,0.3292,0.86,0.4069,0.92,0.499,0.66,0.2552,0.99,0.18,0.41,0.2951,0.38,0.4059,0.12
5,DAVIDSON,GIBBS.JACK,641:46,1109.12,69.0995,0.43,0.1129,0.89,1.1622,0.98,1.0493,0.41,0.5595,0.94,0.3693,0.5,0.165,0.87,0.2841,0.46,0.4427,0.99,0.5091,0.49,0.2831,0.99,0.1809,0.43,0.2628,0.81,0.4372,0.04
6,DAVIDSON,BARHAM.JORDAN,405:01,693.36,69.1674,0.45,-0.0218,0.39,1.1206,0.91,1.1424,0.03,0.5139,0.55,0.3513,0.32,0.1601,0.9,0.3008,0.63,0.4678,0.99,0.5493,0.08,0.2921,0.99,0.1612,0.13,0.2741,0.68,0.5143,0.01
7,DAVIDSON,BELFORD.JAKE,383:00,656.36,68.7248,0.4,0.0147,0.59,1.0924,0.81,1.0777,0.24,0.5375,0.81,0.4221,0.8,0.1813,0.55,0.2588,0.24,0.364,0.74,0.5264,0.25,0.2419,0.99,0.1925,0.66,0.2577,0.84,0.5346,0.01
8,DAVIDSON,MCAULIFFE.ANDREW,305:03,527.8,69.4452,0.5,-0.0102,0.43,1.0383,0.5,1.0485,0.42,0.5183,0.63,0.363,0.45,0.1838,0.51,0.271,0.34,0.3311,0.48,0.5059,0.54,0.2682,0.99,0.1882,0.59,0.276,0.66,0.4024,0.13
9,DAVIDSON,AASE.JOE,149:11,240.24,66.1315,0.08,-0.0521,0.29,1.0531,0.61,1.1052,0.12,0.5359,0.8,0.3846,0.6,0.1915,0.34,0.2623,0.28,0.3641,0.74,0.5291,0.22,0.3252,0.91,0.1624,0.14,0.3,0.33,0.4903,0.01
10,DAVIDSON,MACKAY.ALI,47:56,74.56,64.0,0.01,0.1759,0.97,1.0461,0.55,0.8703,0.99,0.5431,0.88,0.4138,0.77,0.2012,0.18,0.25,0.17,0.4138,0.94,0.3898,0.99,0.4576,0.01,0.1978,0.74,0.2917,0.42,0.6102,0.01
11,DAVIDSON,TORMEY.CLAY,20:15,26.76,57.68,0.01,-0.1532,0.04,0.7848,0.01,0.9379,0.98,0.45,0.03,0.5,0.98,0.3363,0.01,0.3077,0.7,0.2,0.01,0.4318,0.99,0.6364,0.01,0.1617,0.13,0.2222,0.98,0.8182,0.01
12,DAVIDSON,THONI.WILL,15:42,21.64,59.8933,0.01,0.1445,0.96,0.8318,0.01,0.6873,0.99,0.4375,0.01,0.5,0.98,0.3235,0.01,0.3636,0.98,0.375,0.81,0.3846,0.99,0.6923,0.01,0.3007,0.99,0.1667,0.99,0.9231,0.01
13,DAVIDSON,PERKEY.CONNOR,10:26,14.88,62.8,0.01,-0.2226,0.01,0.8065,0.01,1.0291,0.58,0.4545,0.03,0.5455,0.99,0.4032,0.01,0.4286,0.99,0.1818,0.01,0.5,0.64,0.5833,0.01,0.1816,0.45,0.2222,0.98,0.6667,0.01
14,DAVIDSON,ANSEL.RYAN,07:34,11.76,66.2857,0.09,0.2313,0.99,1.1054,0.86,0.8741,0.99,0.5556,0.94,0.5556,0.99,0.2551,0.01,0.3333,0.88,0.4444,0.99,0.4545,0.98,0.6364,0.01,0.2622,0.99,0.375,0.01,0.0909,0.99
15,DAVIDSON,GIAMOUKIS.MANU,01:54,3.88,146.4,0.99,-0.938,0.01,0.5155,0.01,1.4535,0.01,0.0,0.01,0.5,0.98,0.5155,0.01,0.5,0.99,1.0,0.99,0.8333,0.01,0.3333,0.87,0.2907,0.99,0.5,0.01,0.3333,0.49
