,TEAM,TEAM A,TEAM B,TEAM C,TEAM D,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,DAVIDSON,BRAJKOVIC.LUKA,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,456:16,772.44,65.407,0.06,0.148,0.96,1.1121,0.89,0.9641,0.95,0.5429,0.87,0.4466,0.89,0.1554,0.94,0.2375,0.11,0.2647,0.05,0.467,0.95,0.4277,0.1,0.1725,0.29,0.2426,0.93,0.2588,0.94
1,DAVIDSON,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,446:27,745.56,65.3453,0.05,0.2268,0.99,1.1682,0.98,0.9415,0.98,0.5841,0.99,0.4746,0.96,0.1542,0.94,0.2249,0.06,0.2762,0.08,0.4522,0.98,0.4425,0.04,0.1771,0.37,0.2463,0.91,0.2528,0.95
2,DAVIDSON,BRAJKOVIC.LUKA,GRADY.KELLAN,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,428:22,715.4,65.6355,0.06,0.213,0.98,1.1895,0.99,0.9765,0.92,0.6085,0.99,0.4474,0.89,0.1594,0.9,0.2186,0.04,0.2671,0.05,0.4866,0.82,0.4524,0.02,0.1611,0.13,0.2063,0.99,0.217,0.99
3,DAVIDSON,BRAJKOVIC.LUKA,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,393:13,669.2,65.5756,0.06,0.1608,0.97,1.1118,0.88,0.951,0.96,0.571,0.97,0.4725,0.96,0.1763,0.63,0.2262,0.07,0.2309,0.01,0.4694,0.94,0.4304,0.09,0.1728,0.29,0.2297,0.96,0.2208,0.99
4,DAVIDSON,BRAJKOVIC.LUKA,FRAMPTON.LUKE,GRADY.KELLAN,PRITCHETT.KISHAWN,367:16,612.2,64.7237,0.03,0.177,0.97,1.1205,0.91,0.9436,0.98,0.5728,0.97,0.4621,0.94,0.165,0.87,0.2163,0.04,0.2524,0.03,0.46,0.97,0.456,0.02,0.1703,0.26,0.2256,0.97,0.234,0.99
5,DAVIDSON,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,267:42,441.36,67.3858,0.23,0.0013,0.54,0.9833,0.18,0.982,0.9,0.4561,0.04,0.4601,0.93,0.1835,0.51,0.2742,0.38,0.3165,0.34,0.4617,0.97,0.4301,0.09,0.1549,0.07,0.2205,0.99,0.3852,0.18
6,DAVIDSON,BRAJKOVIC.LUKA,COLLINS.CARTER,GRADY.KELLAN,GUDMUNDSSON.JONAX,255:28,421.12,66.2714,0.09,0.1228,0.92,1.1279,0.92,1.0051,0.77,0.5366,0.8,0.3746,0.54,0.1567,0.92,0.2609,0.27,0.3465,0.62,0.4888,0.8,0.4078,0.19,0.1604,0.12,0.2257,0.97,0.3101,0.66
7,DAVIDSON,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,226:13,389.28,66.8566,0.16,-0.0113,0.43,1.0018,0.26,1.0131,0.71,0.4708,0.08,0.4444,0.88,0.1824,0.53,0.2857,0.48,0.2544,0.03,0.4884,0.8,0.3564,0.67,0.1884,0.59,0.2737,0.69,0.3465,0.38
8,DAVIDSON,COLLINS.CARTER,GRADY.KELLAN,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,201:42,328.0,67.8249,0.29,0.2417,0.99,1.189,0.99,0.9473,0.97,0.5761,0.98,0.3986,0.69,0.122,0.99,0.2078,0.03,0.3623,0.73,0.4523,0.98,0.4671,0.01,0.164,0.18,0.2245,0.98,0.2664,0.91
9,DAVIDSON,BRAJKOVIC.LUKA,COLLINS.CARTER,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,197:13,330.96,66.8223,0.16,0.0817,0.82,1.1482,0.96,1.0665,0.31,0.5914,0.99,0.4254,0.81,0.1904,0.37,0.2552,0.22,0.3134,0.32,0.5192,0.34,0.4251,0.11,0.1528,0.06,0.2455,0.92,0.2474,0.96
