,TEAM,TEAM A,TEAM B,TEAM C,TEAM D,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,GUDMUNDSSON.JONAX,MAGARITY.WILL,424:01,736.4,67.9736,0.31,0.0236,0.63,1.0497,0.58,1.0261,0.61,0.5008,0.42,0.4992,0.98,0.1684,0.8,0.252,0.18,0.2951,0.18,0.5116,0.45,0.3449,0.77,0.1859,0.53,0.2663,0.77,0.2587,0.94
1,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,GUDMUNDSSON.JONAX,REIGEL.RUSTY,370:39,655.84,69.9395,0.6,0.0213,0.63,1.0887,0.78,1.0673,0.3,0.5301,0.76,0.4938,0.98,0.1631,0.88,0.2582,0.24,0.285,0.13,0.5459,0.1,0.3595,0.65,0.1912,0.65,0.2572,0.84,0.3174,0.61
2,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,MAGARITY.WILL,REIGEL.RUSTY,346:32,614.24,69.1723,0.45,-0.0035,0.49,1.0712,0.69,1.0748,0.26,0.5141,0.57,0.4662,0.95,0.1612,0.89,0.2571,0.24,0.2744,0.07,0.5307,0.22,0.3644,0.62,0.1803,0.43,0.2785,0.61,0.2495,0.96
3,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,257:40,448.84,68.9463,0.42,0.0523,0.73,1.1229,0.92,1.0706,0.28,0.5422,0.87,0.455,0.92,0.1738,0.7,0.2557,0.22,0.3706,0.79,0.5174,0.36,0.3155,0.94,0.151,0.05,0.2545,0.87,0.3289,0.52
4,DAVIDSON,ALDRIDGE.PEYTON,GUDMUNDSSON.JONAX,MAGARITY.WILL,REIGEL.RUSTY,254:58,453.76,70.5512,0.7,0.0494,0.71,1.0556,0.62,1.0062,0.76,0.5194,0.63,0.5168,0.99,0.1697,0.79,0.2414,0.13,0.2687,0.05,0.5107,0.47,0.3539,0.72,0.1922,0.66,0.2511,0.88,0.2574,0.94
5,DAVIDSON,GIBBS.JACK,GUDMUNDSSON.JONAX,MAGARITY.WILL,REIGEL.RUSTY,225:04,399.28,70.0089,0.62,0.0522,0.73,1.0719,0.69,1.0198,0.68,0.5259,0.7,0.5274,0.99,0.1703,0.77,0.2609,0.27,0.2507,0.03,0.5361,0.17,0.373,0.49,0.2137,0.92,0.2526,0.88,0.2445,0.97
6,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,MAGARITY.WILL,PRITCHETT.KISHAWN,202:09,349.68,66.7406,0.15,0.0336,0.67,1.0724,0.7,1.0388,0.5,0.5156,0.58,0.4097,0.75,0.1687,0.8,0.2367,0.11,0.3368,0.52,0.4712,0.92,0.2983,0.98,0.1387,0.01,0.2865,0.5,0.2881,0.82
7,DAVIDSON,ALDRIDGE.PEYTON,GUDMUNDSSON.JONAX,MAGARITY.WILL,PRITCHETT.KISHAWN,158:17,266.36,66.3696,0.1,0.0719,0.78,1.0062,0.29,0.9343,0.98,0.482,0.17,0.4459,0.89,0.1727,0.72,0.2353,0.1,0.3108,0.3,0.4232,0.99,0.2822,0.99,0.1473,0.03,0.2901,0.43,0.2448,0.97
8,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,GUDMUNDSSON.JONAX,WATKINS.JORDAN,154:27,261.64,67.8961,0.29,0.0555,0.73,1.074,0.7,1.0185,0.68,0.4841,0.19,0.4864,0.98,0.1567,0.92,0.25,0.17,0.3682,0.78,0.521,0.32,0.3692,0.55,0.1991,0.77,0.25,0.89,0.2991,0.74
9,DAVIDSON,GIBBS.JACK,GUDMUNDSSON.JONAX,MAGARITY.WILL,PRITCHETT.KISHAWN,150:11,256.04,67.4187,0.25,0.057,0.73,1.0506,0.58,0.9936,0.85,0.5094,0.51,0.4104,0.76,0.1797,0.58,0.252,0.19,0.3113,0.3,0.4619,0.97,0.3094,0.96,0.1563,0.09,0.2847,0.53,0.2915,0.81
10,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,PRITCHETT.KISHAWN,REIGEL.RUSTY,143:12,253.4,69.9804,0.6,0.1109,0.89,1.1839,0.99,1.073,0.27,0.5643,0.95,0.4143,0.78,0.1421,0.98,0.2362,0.11,0.4048,0.91,0.5257,0.26,0.2897,0.99,0.1458,0.02,0.2397,0.94,0.2757,0.87
11,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,GUDMUNDSSON.JONAX,MCAULIFFE.ANDREW,127:40,215.24,68.8567,0.41,-0.0228,0.39,1.0268,0.41,1.0495,0.41,0.5309,0.76,0.4101,0.76,0.1905,0.37,0.2243,0.06,0.2584,0.04,0.4972,0.67,0.324,0.91,0.1757,0.34,0.2661,0.77,0.419,0.07
12,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,MAGARITY.WILL,WATKINS.JORDAN,126:50,210.4,65.9556,0.07,-0.1754,0.03,0.9411,0.04,1.1164,0.08,0.4382,0.01,0.4824,0.98,0.1711,0.75,0.1964,0.01,0.3529,0.66,0.5104,0.47,0.3698,0.55,0.1365,0.01,0.3025,0.3,0.25,0.96
13,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,REIGEL.RUSTY,WATKINS.JORDAN,112:57,194.28,69.75,0.56,-0.0662,0.26,0.978,0.14,1.0442,0.45,0.4939,0.33,0.4329,0.83,0.1802,0.58,0.2121,0.03,0.2256,0.01,0.4971,0.67,0.3626,0.63,0.1732,0.3,0.2883,0.48,0.3099,0.66
14,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,MCAULIFFE.ANDREW,PRITCHETT.KISHAWN,97:11,164.2,68.9237,0.42,0.0719,0.78,1.0597,0.64,0.9878,0.89,0.5746,0.97,0.4925,0.98,0.1949,0.27,0.1899,0.01,0.2239,0.01,0.4672,0.95,0.2628,0.99,0.1529,0.06,0.2022,0.99,0.4161,0.08
15,DAVIDSON,ALDRIDGE.PEYTON,EKWU.NATHAN,GIBBS.JACK,REIGEL.RUSTY,94:54,153.6,66.3915,0.1,0.1681,0.97,1.1654,0.98,0.9972,0.83,0.5808,0.98,0.4769,0.98,0.1953,0.25,0.3333,0.88,0.3077,0.27,0.4662,0.96,0.3383,0.84,0.1578,0.1,0.2391,0.94,0.3835,0.19
16,DAVIDSON,ALDRIDGE.PEYTON,GUDMUNDSSON.JONAX,MAGARITY.WILL,WATKINS.JORDAN,94:33,158.64,67.3702,0.23,-0.0736,0.22,0.9771,0.14,1.0506,0.41,0.4219,0.01,0.5391,0.99,0.1576,0.92,0.2159,0.04,0.4375,0.98,0.5349,0.18,0.3101,0.96,0.1709,0.26,0.2353,0.94,0.3876,0.18
