,TEAM,TEAM A,TEAM B,TEAM C,TEAM D,TEAM E,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,GUDMUNDSSON.JONAX,MAGARITY.WILL,REIGEL.RUSTY,216:17,384.96,69.7926,0.56,0.0556,0.73,1.0832,0.75,1.0277,0.6,0.5283,0.74,0.5238,0.99,0.1663,0.84,0.2626,0.28,0.25,0.03,0.5358,0.18,0.3713,0.53,0.2088,0.88,0.2556,0.86,0.228,0.99
1,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,GUDMUNDSSON.JONAX,MAGARITY.WILL,PRITCHETT.KISHAWN,135:02,230.84,66.6726,0.15,0.054,0.73,1.044,0.55,0.99,0.88,0.4948,0.34,0.4352,0.85,0.1689,0.8,0.2435,0.13,0.3161,0.34,0.455,0.98,0.31,0.96,0.146,0.02,0.2846,0.53,0.275,0.88
2,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,GUDMUNDSSON.JONAX,MCAULIFFE.ANDREW,PRITCHETT.KISHAWN,65:50,110.12,68.6031,0.39,0.0256,0.63,1.0625,0.64,1.0369,0.52,0.5862,0.99,0.4713,0.96,0.1998,0.21,0.18,0.01,0.2644,0.05,0.5,0.64,0.2637,0.99,0.1595,0.11,0.2182,0.99,0.3956,0.15
3,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,GUDMUNDSSON.JONAX,MAGARITY.WILL,WATKINS.JORDAN,65:15,106.72,64.5292,0.02,-0.1597,0.04,0.9277,0.03,1.0874,0.2,0.3941,0.01,0.5412,0.99,0.1687,0.8,0.2131,0.04,0.4471,0.99,0.5575,0.05,0.3218,0.93,0.1845,0.51,0.2642,0.79,0.2874,0.82
4,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,MAGARITY.WILL,PRITCHETT.KISHAWN,REIGEL.RUSTY,60:14,107.08,66.92,0.17,-0.0335,0.34,1.13,0.92,1.1635,0.01,0.5398,0.84,0.3295,0.17,0.1494,0.96,0.22,0.04,0.3636,0.74,0.5476,0.09,0.2619,0.99,0.1281,0.01,0.2667,0.77,0.2619,0.93
5,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,MAGARITY.WILL,REIGEL.RUSTY,WATKINS.JORDAN,48:49,82.16,67.8167,0.29,-0.2532,0.01,0.9007,0.01,1.1538,0.02,0.4565,0.04,0.4058,0.74,0.1704,0.77,0.1667,0.01,0.2029,0.01,0.5062,0.53,0.4321,0.07,0.1117,0.01,0.3265,0.09,0.1852,0.99
6,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,GUDMUNDSSON.JONAX,MCAULIFFE.ANDREW,REIGEL.RUSTY,41:15,71.48,70.9659,0.73,-0.0892,0.19,0.9513,0.06,1.0405,0.48,0.4444,0.02,0.3492,0.3,0.1399,0.99,0.2195,0.04,0.2698,0.05,0.4839,0.86,0.3548,0.71,0.1892,0.61,0.3333,0.06,0.4032,0.12
7,DAVIDSON,ALDRIDGE.PEYTON,EKWU.NATHAN,GIBBS.JACK,GUDMUNDSSON.JONAX,REIGEL.RUSTY,39:56,59.72,60.5949,0.01,-0.0566,0.29,1.0214,0.36,1.078,0.24,0.5532,0.94,0.5745,0.99,0.2512,0.01,0.32,0.81,0.2766,0.08,0.451,0.98,0.3137,0.95,0.0856,0.01,0.2368,0.94,0.5098,0.01
8,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,GUDMUNDSSON.JONAX,KOVACEVIC.DUSAN,WATKINS.JORDAN,32:30,56.04,70.0,0.62,0.4271,0.99,1.2313,0.99,0.8041,0.99,0.5385,0.83,0.4615,0.94,0.1249,0.99,0.3333,0.88,0.3077,0.27,0.4348,0.99,0.4565,0.02,0.2859,0.99,0.3125,0.18,0.1957,0.99
9,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,MCAULIFFE.ANDREW,PRITCHETT.KISHAWN,REIGEL.RUSTY,28:57,50.08,73.2571,0.92,0.1437,0.96,1.0583,0.63,0.9146,0.99,0.5333,0.78,0.5556,0.99,0.1597,0.9,0.2069,0.02,0.1556,0.01,0.4405,0.99,0.2381,0.99,0.1524,0.06,0.1724,0.99,0.4048,0.12
10,DAVIDSON,ALDRIDGE.PEYTON,EKWU.NATHAN,GIBBS.JACK,REIGEL.RUSTY,WATKINS.JORDAN,26:37,45.64,72.9231,0.91,0.3789,0.99,1.3146,0.99,0.9357,0.98,0.6923,0.99,0.4872,0.98,0.2191,0.03,0.3529,0.97,0.1538,0.01,0.45,0.98,0.35,0.74,0.1627,0.14,0.1786,0.99,0.35,0.38
11,DAVIDSON,ALDRIDGE.PEYTON,EKWU.NATHAN,GIBBS.JACK,GUDMUNDSSON.JONAX,WATKINS.JORDAN,25:35,45.64,72.832,0.9,0.3463,0.99,1.1613,0.98,0.815,0.99,0.6316,0.99,0.5,0.98,0.1753,0.65,0.1579,0.01,0.1579,0.01,0.3784,0.99,0.4595,0.01,0.1762,0.36,0.16,0.99,0.2703,0.9
12,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,REIGEL.RUSTY,25:02,50.44,82.528,0.99,0.0971,0.84,1.368,0.99,1.2709,0.01,0.625,0.99,0.525,0.99,0.1586,0.91,0.3462,0.95,0.65,0.99,0.6977,0.01,0.4186,0.13,0.1138,0.01,0.1111,0.99,0.3023,0.71
13,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,GUDMUNDSSON.JONAX,KOVACEVIC.DUSAN,REIGEL.RUSTY,20:52,37.4,70.8,0.72,0.0655,0.75,1.2032,0.99,1.1377,0.04,0.6667,0.99,0.3333,0.19,0.1604,0.9,0.1875,0.01,0.3333,0.5,0.6154,0.01,0.4615,0.01,0.2395,0.99,0.3333,0.06,0.3846,0.19
14,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,MCAULIFFE.ANDREW,REIGEL.RUSTY,WATKINS.JORDAN,17:16,28.88,68.0471,0.32,0.0016,0.54,0.5886,0.01,0.587,0.99,0.3261,0.01,0.4348,0.84,0.277,0.01,0.1875,0.01,0.087,0.01,0.2174,0.99,0.3478,0.76,0.3453,0.99,0.4,0.01,0.3913,0.16
15,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,GUDMUNDSSON.JONAX,MCAULIFFE.ANDREW,WATKINS.JORDAN,16:42,27.2,69.5,0.52,0.0818,0.82,1.1029,0.84,1.0211,0.66,0.5682,0.96,0.3636,0.45,0.2206,0.02,0.25,0.17,0.2273,0.01,0.4545,0.98,0.4545,0.02,0.2113,0.91,0.2857,0.52,0.4545,0.02
