,TEAM,TEAM A,TEAM B,TEAM C,TEAM D,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
17,DAVIDSON,ALDRIDGE.PEYTON,GRADY.KELLAN,MAGARITY.WILL,REIGEL.RUSTY,242:59,385.6,65.5339,0.06,0.1792,0.97,1.1022,0.84,0.923,0.99,0.5521,0.93,0.503,0.98,0.1608,0.9,0.2253,0.07,0.1935,0.01,0.4753,0.9,0.3808,0.42,0.1669,0.21,0.1675,0.99,0.2006,0.99
18,DAVIDSON,ALDRIDGE.PEYTON,GUDMUNDSSON.JONAX,MAGARITY.WILL,REIGEL.RUSTY,228:15,356.68,64.0667,0.01,0.2424,0.99,1.1523,0.96,0.9099,0.99,0.5568,0.94,0.4921,0.98,0.1458,0.98,0.25,0.17,0.2271,0.01,0.4508,0.98,0.3938,0.31,0.1472,0.03,0.1845,0.99,0.2215,0.99
19,DAVIDSON,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,226:13,389.28,66.8566,0.16,-0.0113,0.43,1.0018,0.26,1.0131,0.71,0.4708,0.08,0.4444,0.88,0.1824,0.53,0.2857,0.48,0.2544,0.03,0.4884,0.8,0.3564,0.67,0.1884,0.59,0.2737,0.69,0.3465,0.38
20,DAVIDSON,COLLINS.CARTER,GRADY.KELLAN,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,211:50,346.64,68.4246,0.37,0.2063,0.98,1.1684,0.98,0.9621,0.95,0.5619,0.95,0.3986,0.69,0.1212,0.99,0.2,0.02,0.3643,0.74,0.456,0.98,0.4591,0.01,0.1679,0.22,0.2341,0.95,0.3019,0.72
21,DAVIDSON,GRADY.KELLAN,GUDMUNDSSON.JONAX,MAGARITY.WILL,REIGEL.RUSTY,207:58,328.48,65.7198,0.07,0.2519,0.99,1.1447,0.96,0.8928,0.99,0.5556,0.94,0.5,0.98,0.1492,0.96,0.242,0.13,0.2326,0.01,0.4485,0.98,0.3721,0.51,0.1592,0.11,0.1728,0.99,0.2093,0.99
22,DAVIDSON,BRAJKOVIC.LUKA,COLLINS.CARTER,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,197:13,330.96,66.8223,0.16,0.0817,0.82,1.1482,0.96,1.0665,0.31,0.5914,0.99,0.4254,0.81,0.1904,0.37,0.2552,0.22,0.3134,0.32,0.5192,0.34,0.4251,0.11,0.1528,0.06,0.2455,0.92,0.2474,0.96
23,DAVIDSON,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,175:21,287.28,64.5623,0.02,0.04,0.67,1.0269,0.41,0.9869,0.89,0.4508,0.03,0.4134,0.77,0.1497,0.96,0.2892,0.52,0.3425,0.58,0.4679,0.95,0.3803,0.42,0.1945,0.69,0.3007,0.31,0.3462,0.38
24,DAVIDSON,BRAJKOVIC.LUKA,COLLINS.CARTER,GRADY.KELLAN,PRITCHETT.KISHAWN,151:46,240.56,65.9126,0.07,0.2093,0.98,1.2596,0.99,1.0503,0.41,0.6275,0.99,0.345,0.27,0.1455,0.98,0.2596,0.26,0.37,0.79,0.5181,0.35,0.457,0.01,0.1556,0.08,0.218,0.99,0.2579,0.94
25,DAVIDSON,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,KOVACEVIC.DUSAN,149:06,235.2,64.6658,0.02,0.077,0.78,1.0544,0.61,0.9774,0.92,0.5255,0.7,0.5102,0.99,0.1913,0.34,0.2521,0.19,0.2806,0.1,0.466,0.96,0.4078,0.19,0.1582,0.11,0.2279,0.96,0.3592,0.33
26,DAVIDSON,ALDRIDGE.PEYTON,GUDMUNDSSON.JONAX,MICHELSEN.OSKAR,REIGEL.RUSTY,136:44,222.32,63.4059,0.01,0.1722,0.97,1.2639,0.99,1.0917,0.18,0.6173,0.99,0.4592,0.93,0.108,0.99,0.21,0.03,0.2704,0.06,0.484,0.86,0.3529,0.72,0.1484,0.04,0.3077,0.23,0.3262,0.53
