,TEAM,TEAM A,TEAM B,TEAM C,TEAM D,TEAM E,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,DAVIDSON,BRAJKOVIC.LUKA,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,304:54,513.2,65.0105,0.04,0.2275,0.99,1.1496,0.96,0.9222,0.99,0.5864,0.99,0.47,0.96,0.1617,0.89,0.2165,0.04,0.2419,0.01,0.4545,0.98,0.4498,0.03,0.1705,0.26,0.2218,0.98,0.201,0.99
1,DAVIDSON,ALDRIDGE.PEYTON,GRADY.KELLAN,GUDMUNDSSON.JONAX,MICHELSEN.OSKAR,PRITCHETT.KISHAWN,289:17,477.44,64.0969,0.01,0.2236,0.99,1.2085,0.99,0.9849,0.9,0.6112,0.99,0.4904,0.98,0.1361,0.99,0.1848,0.01,0.1818,0.01,0.5282,0.23,0.4382,0.05,0.1939,0.68,0.2074,0.99,0.2124,0.99
2,DAVIDSON,ALDRIDGE.PEYTON,GRADY.KELLAN,GUDMUNDSSON.JONAX,MAGARITY.WILL,PRITCHETT.KISHAWN,268:23,411.84,62.1731,0.01,0.0741,0.78,1.1898,0.99,1.1156,0.08,0.5736,0.97,0.4523,0.9,0.1505,0.96,0.2821,0.44,0.2343,0.01,0.5353,0.18,0.4241,0.11,0.1448,0.01,0.2691,0.74,0.2277,0.99
3,DAVIDSON,ALDRIDGE.PEYTON,GRADY.KELLAN,GUDMUNDSSON.JONAX,MAGARITY.WILL,REIGEL.RUSTY,194:59,308.4,65.2619,0.05,0.255,0.99,1.1576,0.97,0.9025,0.99,0.5623,0.95,0.4982,0.98,0.1459,0.98,0.2432,0.13,0.2198,0.01,0.4502,0.98,0.3701,0.54,0.1571,0.1,0.1818,0.99,0.1993,0.99
4,DAVIDSON,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,132:37,222.28,65.8727,0.07,0.0331,0.67,1.0167,0.33,0.9836,0.9,0.4538,0.03,0.3897,0.62,0.153,0.95,0.2698,0.32,0.3179,0.35,0.4607,0.97,0.3483,0.75,0.1788,0.39,0.2797,0.6,0.3764,0.23
5,DAVIDSON,ALDRIDGE.PEYTON,GRADY.KELLAN,GUDMUNDSSON.JONAX,MICHELSEN.OSKAR,REIGEL.RUSTY,111:44,184.68,64.1874,0.02,0.1887,0.97,1.2671,0.99,1.0783,0.24,0.6369,0.99,0.4459,0.89,0.1137,0.99,0.1818,0.01,0.2994,0.21,0.4901,0.78,0.3618,0.63,0.1516,0.06,0.2947,0.39,0.3224,0.57
6,DAVIDSON,BRAJKOVIC.LUKA,COLLINS.CARTER,GRADY.KELLAN,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,107:48,174.32,67.2748,0.22,0.2462,0.99,1.3022,0.99,1.056,0.37,0.662,0.99,0.3521,0.34,0.1549,0.94,0.2571,0.24,0.3732,0.8,0.5316,0.21,0.4684,0.01,0.1401,0.01,0.172,0.99,0.2532,0.95
7,DAVIDSON,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,KOVACEVIC.DUSAN,PRITCHETT.KISHAWN,78:21,121.4,61.9179,0.01,0.1952,0.97,1.1862,0.99,0.991,0.87,0.5808,0.98,0.4848,0.98,0.1483,0.97,0.2075,0.03,0.3535,0.67,0.4491,0.98,0.3889,0.34,0.1666,0.21,0.3143,0.16,0.2963,0.77
8,DAVIDSON,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,69:59,125.24,68.858,0.41,-0.1388,0.07,0.9741,0.14,1.1129,0.08,0.5096,0.51,0.5192,0.99,0.2395,0.01,0.2903,0.53,0.2019,0.01,0.5255,0.26,0.3673,0.58,0.1603,0.12,0.2963,0.37,0.2857,0.83
9,DAVIDSON,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,KOVACEVIC.DUSAN,65:22,106.92,69.0831,0.43,-0.114,0.13,0.8979,0.01,1.0119,0.73,0.467,0.07,0.5275,0.99,0.2338,0.01,0.2742,0.38,0.1978,0.01,0.511,0.47,0.4286,0.09,0.1531,0.06,0.1525,0.99,0.4396,0.04
10,DAVIDSON,ALDRIDGE.PEYTON,GRADY.KELLAN,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,REIGEL.RUSTY,49:34,82.12,63.7714,0.01,0.299,0.99,1.2299,0.99,0.9309,0.99,0.5486,0.92,0.3333,0.19,0.0852,0.99,0.1795,0.01,0.3194,0.37,0.4483,0.98,0.4828,0.01,0.2024,0.8,0.2368,0.94,0.3966,0.15
11,DAVIDSON,COLLINS.CARTER,GRADY.KELLAN,GUDMUNDSSON.JONAX,KOVACEVIC.DUSAN,PRITCHETT.KISHAWN,41:13,65.04,66.4,0.11,0.2845,0.99,1.0301,0.44,0.7456,0.99,0.5088,0.5,0.4211,0.8,0.123,0.99,0.2,0.02,0.2807,0.1,0.3917,0.99,0.3667,0.59,0.2251,0.98,0.2105,0.99,0.1167,0.99
12,DAVIDSON,ALDRIDGE.PEYTON,GRADY.KELLAN,MAGARITY.WILL,PRITCHETT.KISHAWN,REIGEL.RUSTY,40:45,65.76,67.08,0.19,-0.1882,0.02,0.806,0.01,0.9942,0.84,0.4537,0.03,0.5741,0.99,0.2281,0.01,0.1613,0.01,0.0741,0.01,0.5463,0.1,0.463,0.01,0.1901,0.63,0.1034,0.99,0.1852,0.99
13,DAVIDSON,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,JONES.BATES,34:20,52.16,65.9294,0.07,0.1316,0.95,1.0161,0.33,0.8845,0.99,0.4457,0.02,0.5652,0.99,0.1725,0.72,0.3,0.63,0.3043,0.25,0.4184,0.99,0.5102,0.01,0.1502,0.05,0.1765,0.99,0.3673,0.28
14,DAVIDSON,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,PRITCHETT.KISHAWN,29:03,44.48,62.9793,0.01,-0.0794,0.22,0.9667,0.1,1.0461,0.43,0.4231,0.01,0.4103,0.76,0.1349,0.99,0.2857,0.48,0.4359,0.98,0.5263,0.25,0.3947,0.28,0.2348,0.99,0.3182,0.14,0.2895,0.82
