,TEAM,TEAM A,TEAM B,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
19,DAVIDSON,GUDMUNDSSON.JONAX,REIGEL.RUSTY,503:56,819.08,65.3869,0.05,0.1469,0.96,1.1537,0.96,1.0068,0.76,0.5616,0.95,0.4804,0.98,0.1355,0.99,0.2172,0.04,0.2549,0.03,0.4841,0.84,0.3902,0.33,0.1563,0.09,0.2255,0.97,0.3396,0.43
20,DAVIDSON,GRADY.KELLAN,REIGEL.RUSTY,495:57,818.4,66.3596,0.1,0.1655,0.97,1.1364,0.95,0.9709,0.94,0.5623,0.95,0.4685,0.95,0.1405,0.98,0.1984,0.02,0.265,0.05,0.475,0.91,0.3873,0.34,0.1675,0.22,0.211,0.99,0.3314,0.51
21,DAVIDSON,ALDRIDGE.PEYTON,MICHELSEN.OSKAR,487:36,814.72,64.4419,0.02,0.1931,0.97,1.2164,0.99,1.0233,0.65,0.6027,0.99,0.4866,0.98,0.1301,0.99,0.2027,0.02,0.2293,0.01,0.5191,0.34,0.4019,0.23,0.1789,0.39,0.2279,0.96,0.2807,0.86
22,DAVIDSON,COLLINS.CARTER,FRAMPTON.LUKE,485:26,797.32,66.3654,0.1,-0.0152,0.43,0.9946,0.23,1.0098,0.74,0.4685,0.07,0.4861,0.98,0.1906,0.37,0.286,0.48,0.2972,0.19,0.4807,0.88,0.4324,0.07,0.1687,0.23,0.2391,0.94,0.3581,0.33
23,DAVIDSON,GUDMUNDSSON.JONAX,MICHELSEN.OSKAR,483:02,799.68,64.3445,0.02,0.1799,0.97,1.218,0.99,1.0381,0.5,0.6117,0.99,0.4914,0.98,0.1301,0.99,0.1898,0.01,0.2106,0.01,0.5212,0.32,0.4013,0.23,0.1697,0.25,0.2302,0.96,0.268,0.9
24,DAVIDSON,GRADY.KELLAN,MICHELSEN.OSKAR,467:41,780.2,64.8959,0.03,0.1956,0.97,1.2023,0.99,1.0066,0.76,0.6069,0.99,0.4798,0.98,0.1384,0.99,0.1901,0.01,0.2317,0.01,0.5149,0.41,0.4123,0.16,0.1782,0.39,0.2088,0.99,0.2864,0.83
25,DAVIDSON,COLLINS.CARTER,PRITCHETT.KISHAWN,460:56,750.76,66.3287,0.1,0.0868,0.82,1.0922,0.81,1.0054,0.77,0.5354,0.8,0.4453,0.89,0.1665,0.84,0.2356,0.1,0.328,0.44,0.4775,0.89,0.4264,0.11,0.1781,0.39,0.2758,0.66,0.2928,0.8
26,DAVIDSON,BRAJKOVIC.LUKA,COLLINS.CARTER,442:29,736.16,66.0652,0.08,0.0961,0.84,1.0949,0.82,0.9988,0.82,0.527,0.71,0.4175,0.79,0.1684,0.8,0.2715,0.36,0.3,0.21,0.483,0.86,0.412,0.16,0.1768,0.36,0.2583,0.83,0.2859,0.83
27,DAVIDSON,MICHELSEN.OSKAR,PRITCHETT.KISHAWN,360:49,600.52,64.6,0.02,0.1671,0.97,1.1773,0.98,1.0102,0.73,0.5817,0.98,0.4924,0.98,0.1415,0.98,0.2101,0.03,0.2053,0.01,0.5336,0.19,0.4317,0.08,0.1921,0.66,0.2097,0.99,0.243,0.97
28,DAVIDSON,MAGARITY.WILL,PRITCHETT.KISHAWN,360:05,555.96,62.6711,0.01,0.0439,0.71,1.1224,0.92,1.0784,0.24,0.5581,0.94,0.4751,0.97,0.1655,0.85,0.251,0.17,0.2261,0.01,0.5237,0.29,0.4418,0.04,0.1521,0.06,0.2508,0.89,0.2426,0.97
29,DAVIDSON,MAGARITY.WILL,REIGEL.RUSTY,308:03,482.6,64.8779,0.03,0.166,0.97,1.1127,0.89,0.9467,0.97,0.5512,0.93,0.5071,0.99,0.1596,0.9,0.2338,0.09,0.2143,0.01,0.4828,0.87,0.4207,0.12,0.1549,0.07,0.1685,0.99,0.2483,0.96
30,DAVIDSON,GUDMUNDSSON.JONAX,KOVACEVIC.DUSAN,296:31,486.64,66.8649,0.16,0.0286,0.63,1.0644,0.66,1.0359,0.53,0.5391,0.84,0.5037,0.99,0.1747,0.67,0.2222,0.05,0.2592,0.04,0.5156,0.39,0.39,0.34,0.173,0.29,0.2402,0.94,0.3206,0.59
31,DAVIDSON,GRADY.KELLAN,KOVACEVIC.DUSAN,290:34,470.92,66.4248,0.11,0.0575,0.73,1.0469,0.55,0.9894,0.88,0.5323,0.78,0.505,0.99,0.1784,0.6,0.2324,0.09,0.2313,0.01,0.4799,0.88,0.3981,0.26,0.1727,0.29,0.2556,0.86,0.2867,0.83
