,TEAM,TEAM A,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,DAVIDSON,KALINOSKI.TYLER,1106:09,1843.6,66.5454,0.13,0.1489,0.96,1.1911,0.99,1.0423,0.46,0.5573,0.94,0.4557,0.92,0.1329,0.99,0.2947,0.59,0.26,0.04,0.4981,0.66,0.3173,0.94,0.1792,0.41,0.3111,0.19,0.3281,0.52
1,DAVIDSON,SULLIVAN.BRIAN,1057:00,1742.24,65.8013,0.07,0.1526,0.97,1.1898,0.99,1.0372,0.51,0.5559,0.94,0.464,0.94,0.1349,0.99,0.2967,0.6,0.2816,0.11,0.4894,0.8,0.3179,0.94,0.1706,0.26,0.3079,0.23,0.3265,0.53
2,DAVIDSON,ALDRIDGE.PEYTON,964:42,1620.8,66.5676,0.13,0.1568,0.97,1.1827,0.99,1.026,0.62,0.5541,0.94,0.4661,0.95,0.1388,0.99,0.298,0.61,0.2485,0.02,0.4794,0.88,0.3136,0.95,0.1757,0.34,0.3221,0.11,0.3461,0.38
3,DAVIDSON,GIBBS.JACK,745:20,1254.12,67.4974,0.25,0.1382,0.95,1.1769,0.98,1.0388,0.5,0.541,0.85,0.4446,0.88,0.1364,0.99,0.3065,0.68,0.2816,0.11,0.4913,0.77,0.3306,0.88,0.169,0.25,0.2971,0.35,0.3333,0.49
4,DAVIDSON,BARHAM.JORDAN,670:30,1121.72,66.7475,0.15,0.1704,0.97,1.2276,0.99,1.0571,0.35,0.5656,0.95,0.4403,0.86,0.1248,0.99,0.3022,0.64,0.3063,0.26,0.5036,0.58,0.3229,0.92,0.1651,0.19,0.2954,0.38,0.3417,0.42
5,DAVIDSON,MICHELSEN.OSKAR,567:11,952.04,66.97,0.17,0.1294,0.92,1.188,0.99,1.0586,0.35,0.5616,0.95,0.475,0.97,0.1397,0.99,0.2978,0.61,0.2799,0.09,0.505,0.57,0.3321,0.88,0.1648,0.18,0.2877,0.49,0.3719,0.25
6,DAVIDSON,MCAULIFFE.ANDREW,404:02,654.0,66.2317,0.09,0.1257,0.92,1.1376,0.95,1.0119,0.73,0.5448,0.89,0.4462,0.89,0.1667,0.84,0.3024,0.64,0.3584,0.71,0.4819,0.87,0.3542,0.71,0.1623,0.14,0.2909,0.43,0.2916,0.81
7,DAVIDSON,EKWU.NATHAN,363:47,585.0,66.0187,0.08,0.1524,0.97,1.1504,0.96,0.998,0.83,0.5403,0.85,0.4357,0.85,0.147,0.97,0.2885,0.51,0.2879,0.13,0.4717,0.92,0.3125,0.95,0.1761,0.36,0.2818,0.57,0.3828,0.2
8,DAVIDSON,WATKINS.JORDAN,240:24,390.52,66.5633,0.13,0.308,0.99,1.2829,0.99,0.9749,0.93,0.6126,0.99,0.4444,0.88,0.146,0.98,0.3102,0.72,0.3994,0.9,0.4655,0.96,0.3183,0.94,0.1911,0.65,0.3018,0.3,0.4384,0.04
9,DAVIDSON,BELFORD.JAKE,120:41,212.68,70.6133,0.71,0.2745,0.99,1.2413,0.99,0.9668,0.95,0.5665,0.96,0.4729,0.96,0.1317,0.99,0.3391,0.91,0.2315,0.01,0.4916,0.77,0.2697,0.99,0.1943,0.69,0.2655,0.78,0.2809,0.86
10,DAVIDSON,MACKAY.ALI,66:33,108.84,67.3818,0.23,-0.0908,0.17,1.0015,0.26,1.0923,0.18,0.5,0.42,0.4118,0.76,0.2021,0.18,0.2692,0.32,0.4235,0.97,0.5298,0.22,0.4286,0.09,0.2026,0.8,0.322,0.11,0.6905,0.01
11,DAVIDSON,REIGEL.RUSTY,27:41,45.04,67.3481,0.23,-0.2655,0.01,0.9769,0.14,1.2424,0.01,0.6071,0.99,0.4643,0.94,0.3552,0.01,0.375,0.99,0.5714,0.99,0.625,0.01,0.5,0.01,0.1744,0.33,0.2609,0.83,0.8438,0.01
12,DAVIDSON,GIAMOUKIS.MANU,24:55,38.96,66.0,0.07,-0.0362,0.34,1.2064,0.99,1.2425,0.01,0.5909,0.99,0.5152,0.99,0.231,0.01,0.3889,0.99,0.2727,0.06,0.5667,0.02,0.6333,0.01,0.174,0.3,0.3,0.33,0.7,0.01
13,DAVIDSON,WILLIAMS.MATT,20:50,35.28,71.08,0.74,-0.4375,0.01,0.6519,0.01,1.0894,0.19,0.425,0.01,0.45,0.9,0.4252,0.01,0.3571,0.98,0.6,0.99,0.5577,0.05,0.5385,0.01,0.1397,0.01,0.1905,0.99,0.7692,0.01
14,DAVIDSON,PERKEY.CONNOR,15:42,24.28,69.0133,0.43,-0.5955,0.01,0.8237,0.01,1.4192,0.01,0.4615,0.05,0.6154,0.99,0.3707,0.01,0.3,0.63,0.9231,0.99,0.7368,0.01,0.4737,0.01,0.1456,0.02,0.25,0.89,0.8947,0.01
15,DAVIDSON,FAINES.KAMAU,06:59,11.08,73.4667,0.93,-0.8291,0.01,0.722,0.01,1.5511,0.01,0.625,0.99,0.75,0.99,0.4513,0.01,0.25,0.17,1.75,0.99,0.8571,0.01,0.5714,0.01,0.1825,0.48,0.4,0.01,1.2857,0.01
