,TEAM,TEAM A,TEAM B,TEAM C,TEAM D,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,KALINOSKI.TYLER,SULLIVAN.BRIAN,427:12,727.44,66.9246,0.17,0.1671,0.97,1.1836,0.99,1.0165,0.69,0.554,0.94,0.4586,0.93,0.1333,0.99,0.2917,0.53,0.2234,0.01,0.4773,0.89,0.3166,0.94,0.1839,0.49,0.3247,0.1,0.3003,0.73
1,DAVIDSON,ALDRIDGE.PEYTON,BARHAM.JORDAN,KALINOSKI.TYLER,SULLIVAN.BRIAN,369:44,618.92,65.032,0.04,0.1855,0.97,1.2425,0.99,1.0569,0.37,0.5695,0.96,0.4443,0.88,0.1147,0.99,0.297,0.6,0.2453,0.02,0.4971,0.67,0.3131,0.95,0.167,0.21,0.3206,0.12,0.3288,0.52
2,DAVIDSON,BARHAM.JORDAN,GIBBS.JACK,KALINOSKI.TYLER,SULLIVAN.BRIAN,245:41,413.44,66.2204,0.09,0.0992,0.84,1.1828,0.99,1.0836,0.22,0.5263,0.71,0.4079,0.74,0.1161,0.99,0.3004,0.63,0.3316,0.48,0.5114,0.45,0.3419,0.81,0.1659,0.19,0.3125,0.18,0.2963,0.77
3,DAVIDSON,ALDRIDGE.PEYTON,BARHAM.JORDAN,GIBBS.JACK,KALINOSKI.TYLER,241:08,420.56,67.5851,0.27,0.126,0.92,1.1746,0.98,1.0486,0.42,0.53,0.76,0.43,0.82,0.1189,0.99,0.3029,0.64,0.2475,0.02,0.4871,0.82,0.32,0.93,0.165,0.19,0.3167,0.15,0.3171,0.61
4,DAVIDSON,ALDRIDGE.PEYTON,KALINOSKI.TYLER,MICHELSEN.OSKAR,SULLIVAN.BRIAN,218:25,365.72,65.0789,0.04,0.1416,0.96,1.2387,0.99,1.0971,0.17,0.6077,0.99,0.5221,0.99,0.1367,0.99,0.2802,0.43,0.1858,0.01,0.5083,0.5,0.3036,0.98,0.1571,0.1,0.3243,0.1,0.3498,0.38
5,DAVIDSON,ALDRIDGE.PEYTON,BARHAM.JORDAN,GIBBS.JACK,SULLIVAN.BRIAN,217:20,370.32,66.1051,0.08,0.1559,0.97,1.1936,0.99,1.0377,0.51,0.5335,0.78,0.4257,0.81,0.1188,0.99,0.3039,0.66,0.3003,0.21,0.4749,0.91,0.3135,0.95,0.1585,0.11,0.335,0.06,0.2915,0.81
6,DAVIDSON,ALDRIDGE.PEYTON,EKWU.NATHAN,KALINOSKI.TYLER,SULLIVAN.BRIAN,169:15,276.0,65.6,0.06,-0.0018,0.49,1.0761,0.72,1.0779,0.24,0.5241,0.69,0.4578,0.93,0.163,0.88,0.274,0.37,0.2008,0.01,0.502,0.59,0.2816,0.99,0.1653,0.19,0.3219,0.11,0.3184,0.6
7,DAVIDSON,BARHAM.JORDAN,KALINOSKI.TYLER,MICHELSEN.OSKAR,SULLIVAN.BRIAN,154:09,248.08,63.2727,0.01,0.1513,0.97,1.3181,0.99,1.1668,0.01,0.5837,0.99,0.4776,0.98,0.0887,0.99,0.3308,0.87,0.2327,0.01,0.5452,0.1,0.3429,0.79,0.1338,0.01,0.2941,0.39,0.3476,0.38
8,DAVIDSON,ALDRIDGE.PEYTON,BARHAM.JORDAN,KALINOSKI.TYLER,MICHELSEN.OSKAR,153:46,256.08,66.3111,0.1,0.2046,0.98,1.3511,0.99,1.1465,0.03,0.6134,0.99,0.4939,0.98,0.1015,0.99,0.3256,0.84,0.2308,0.01,0.5417,0.14,0.3241,0.91,0.1473,0.03,0.296,0.38,0.3704,0.25
9,DAVIDSON,ALDRIDGE.PEYTON,EKWU.NATHAN,GIBBS.JACK,KALINOSKI.TYLER,144:50,237.24,66.7444,0.15,0.1657,0.97,1.2055,0.99,1.0398,0.49,0.5509,0.93,0.4735,0.96,0.1433,0.98,0.3308,0.87,0.2035,0.01,0.4831,0.86,0.3333,0.87,0.1644,0.18,0.2879,0.49,0.3768,0.23
10,DAVIDSON,EKWU.NATHAN,GIBBS.JACK,KALINOSKI.TYLER,SULLIVAN.BRIAN,142:04,225.12,65.4479,0.06,0.0832,0.82,1.1727,0.98,1.0895,0.19,0.5461,0.9,0.4806,0.98,0.151,0.95,0.3051,0.67,0.233,0.01,0.5,0.64,0.3029,0.98,0.1586,0.11,0.312,0.19,0.3558,0.34
