,TEAM,TEAM A,TEAM B,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,DAVIDSON,ALDRIDGE.PEYTON,SULLIVAN.BRIAN,975:51,1713.04,69.7936,0.56,0.0234,0.63,1.1214,0.92,1.098,0.16,0.5199,0.63,0.4445,0.88,0.1384,0.99,0.2555,0.22,0.3096,0.28,0.5238,0.29,0.3356,0.86,0.1675,0.22,0.3069,0.25,0.2746,0.88
1,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,960:42,1713.2,71.0642,0.74,0.0188,0.59,1.1125,0.89,1.0937,0.18,0.5155,0.58,0.433,0.83,0.1453,0.98,0.2584,0.24,0.3232,0.4,0.5205,0.32,0.3414,0.81,0.1637,0.16,0.296,0.38,0.2864,0.83
2,DAVIDSON,GIBBS.JACK,SULLIVAN.BRIAN,906:12,1613.52,71.162,0.75,0.0181,0.59,1.1212,0.92,1.103,0.12,0.527,0.71,0.4364,0.85,0.1401,0.98,0.2429,0.13,0.3293,0.45,0.5291,0.22,0.3333,0.87,0.1633,0.16,0.2931,0.4,0.2823,0.85
3,DAVIDSON,ALDRIDGE.PEYTON,EKWU.NATHAN,544:00,920.56,68.3824,0.36,0.0396,0.67,1.1765,0.98,1.1368,0.04,0.5292,0.75,0.4458,0.89,0.1369,0.99,0.2958,0.6,0.3337,0.5,0.5233,0.29,0.3409,0.82,0.1331,0.01,0.2866,0.5,0.3301,0.51
4,DAVIDSON,EKWU.NATHAN,GIBBS.JACK,542:20,924.28,69.5085,0.52,0.0467,0.71,1.1609,0.98,1.1142,0.08,0.5221,0.68,0.4356,0.85,0.1396,0.99,0.292,0.54,0.3521,0.66,0.5182,0.35,0.354,0.71,0.1376,0.01,0.2783,0.61,0.3048,0.7
5,DAVIDSON,EKWU.NATHAN,SULLIVAN.BRIAN,531:58,891.72,68.1476,0.33,0.0289,0.63,1.1775,0.98,1.1486,0.03,0.5426,0.87,0.4517,0.9,0.1413,0.98,0.2851,0.48,0.3346,0.51,0.5299,0.22,0.3284,0.89,0.1319,0.01,0.2902,0.43,0.3236,0.56
6,DAVIDSON,ALDRIDGE.PEYTON,WATKINS.JORDAN,509:43,903.04,70.7536,0.71,-0.0358,0.34,1.1284,0.92,1.1642,0.01,0.5152,0.58,0.4422,0.87,0.144,0.98,0.2741,0.38,0.338,0.53,0.5359,0.18,0.3325,0.88,0.1649,0.18,0.3469,0.02,0.3607,0.33
7,DAVIDSON,GIBBS.JACK,WATKINS.JORDAN,487:51,873.04,71.7552,0.83,-0.0534,0.29,1.126,0.92,1.1794,0.01,0.5119,0.54,0.4392,0.86,0.1409,0.98,0.2662,0.3,0.3519,0.65,0.5379,0.17,0.3356,0.86,0.1544,0.07,0.338,0.04,0.4061,0.12
8,DAVIDSON,ALDRIDGE.PEYTON,MICHELSEN.OSKAR,460:38,825.36,70.7722,0.71,0.0563,0.73,1.1256,0.92,1.0693,0.29,0.5279,0.73,0.4624,0.94,0.1442,0.98,0.2512,0.18,0.305,0.26,0.5062,0.53,0.38,0.42,0.1757,0.34,0.3212,0.11,0.2566,0.94
9,DAVIDSON,SULLIVAN.BRIAN,WATKINS.JORDAN,426:47,744.2,69.985,0.6,-0.0688,0.26,1.1449,0.96,1.2137,0.01,0.5304,0.76,0.4611,0.94,0.1357,0.99,0.2532,0.19,0.3583,0.71,0.5635,0.03,0.322,0.93,0.1581,0.11,0.3513,0.01,0.3746,0.25
