,TEAM,TEAM A,TEAM B,TEAM C,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,SULLIVAN.BRIAN,798:45,1419.56,70.6897,0.71,0.0159,0.59,1.1116,0.88,1.0957,0.17,0.5162,0.6,0.4339,0.84,0.1409,0.98,0.2513,0.18,0.3236,0.4,0.5285,0.23,0.329,0.89,0.1663,0.21,0.292,0.42,0.272,0.89
1,DAVIDSON,ALDRIDGE.PEYTON,EKWU.NATHAN,GIBBS.JACK,459:53,784.72,69.044,0.43,0.0545,0.73,1.1635,0.98,1.109,0.1,0.5185,0.63,0.4308,0.82,0.1402,0.98,0.3061,0.68,0.3395,0.55,0.5175,0.36,0.3492,0.74,0.1388,0.01,0.2766,0.64,0.2959,0.78
2,DAVIDSON,ALDRIDGE.PEYTON,EKWU.NATHAN,SULLIVAN.BRIAN,458:42,773.16,67.7991,0.28,0.0262,0.63,1.1822,0.99,1.156,0.02,0.5396,0.84,0.4475,0.89,0.141,0.98,0.299,0.62,0.3079,0.27,0.5323,0.19,0.3214,0.93,0.1309,0.01,0.2917,0.42,0.3242,0.55
3,DAVIDSON,EKWU.NATHAN,GIBBS.JACK,SULLIVAN.BRIAN,437:03,741.36,68.8238,0.41,0.0348,0.67,1.1641,0.98,1.1293,0.05,0.5343,0.79,0.439,0.86,0.1443,0.98,0.2935,0.56,0.3338,0.5,0.5264,0.25,0.3309,0.88,0.1364,0.01,0.2846,0.53,0.2943,0.78
4,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,WATKINS.JORDAN,419:32,753.4,71.5704,0.82,-0.0168,0.43,1.1481,0.96,1.1649,0.01,0.5184,0.63,0.438,0.86,0.142,0.98,0.2806,0.43,0.3599,0.72,0.5344,0.18,0.3286,0.89,0.1662,0.21,0.346,0.02,0.3912,0.16
5,DAVIDSON,ALDRIDGE.PEYTON,SULLIVAN.BRIAN,WATKINS.JORDAN,374:41,651.24,69.4909,0.5,-0.0393,0.34,1.1578,0.97,1.1971,0.01,0.5297,0.75,0.4493,0.9,0.1321,0.99,0.2672,0.31,0.3427,0.58,0.5577,0.05,0.3108,0.96,0.1712,0.27,0.3684,0.01,0.3481,0.38
6,DAVIDSON,ALDRIDGE.PEYTON,MICHELSEN.OSKAR,SULLIVAN.BRIAN,354:43,630.56,70.2893,0.65,0.058,0.73,1.1403,0.95,1.0822,0.22,0.531,0.76,0.4736,0.96,0.1348,0.99,0.2417,0.13,0.3169,0.34,0.5226,0.31,0.3725,0.51,0.1809,0.43,0.3211,0.11,0.2242,0.99
7,DAVIDSON,ALDRIDGE.PEYTON,REIGEL.RUSTY,SULLIVAN.BRIAN,340:45,566.08,65.9388,0.07,0.098,0.84,1.127,0.92,1.0291,0.58,0.5307,0.76,0.4238,0.8,0.1537,0.95,0.2809,0.43,0.2614,0.04,0.488,0.82,0.3353,0.86,0.1442,0.01,0.2573,0.84,0.255,0.95
8,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,MICHELSEN.OSKAR,333:56,613.16,72.4084,0.88,0.0408,0.71,1.1025,0.84,1.0617,0.33,0.5199,0.63,0.4459,0.89,0.1517,0.95,0.25,0.17,0.3112,0.3,0.5047,0.57,0.3745,0.48,0.1722,0.29,0.3094,0.21,0.236,0.98
9,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,REIGEL.RUSTY,324:00,556.88,69.1037,0.45,0.0789,0.78,1.1205,0.91,1.0416,0.47,0.522,0.68,0.4025,0.71,0.1544,0.94,0.2616,0.27,0.3187,0.36,0.4919,0.77,0.3488,0.75,0.144,0.01,0.2492,0.89,0.2823,0.85
