,TEAM,TEAM A,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,DAVIDSON,ALDRIDGE.PEYTON,1142:09,2014.44,70.2326,0.65,0.0251,0.63,1.1204,0.91,1.0953,0.17,0.5193,0.63,0.4424,0.87,0.1435,0.98,0.261,0.27,0.3129,0.31,0.5176,0.36,0.3453,0.77,0.1653,0.19,0.3068,0.25,0.2902,0.81
1,DAVIDSON,SULLIVAN.BRIAN,1106:06,1945.68,70.2083,0.65,0.0217,0.63,1.1281,0.92,1.1064,0.12,0.5291,0.75,0.4472,0.89,0.1398,0.99,0.2473,0.16,0.3244,0.42,0.5267,0.25,0.3411,0.81,0.1637,0.16,0.303,0.3,0.2849,0.85
2,DAVIDSON,GIBBS.JACK,1102:00,1967.76,71.4526,0.8,0.0141,0.59,1.1165,0.9,1.1024,0.14,0.5218,0.67,0.4331,0.84,0.1433,0.98,0.2488,0.16,0.3265,0.43,0.5229,0.31,0.3465,0.76,0.161,0.12,0.2969,0.37,0.2966,0.77
3,DAVIDSON,EKWU.NATHAN,645:49,1089.48,68.8471,0.41,0.0481,0.71,1.1703,0.98,1.1222,0.05,0.5282,0.74,0.4447,0.88,0.1368,0.99,0.2857,0.48,0.357,0.7,0.5185,0.35,0.35,0.74,0.1344,0.01,0.2821,0.55,0.336,0.47
4,DAVIDSON,WATKINS.JORDAN,595:27,1054.04,70.8477,0.72,-0.0744,0.22,1.11,0.87,1.1844,0.01,0.5082,0.5,0.4452,0.89,0.1433,0.98,0.2619,0.27,0.3465,0.62,0.5437,0.12,0.3443,0.77,0.1528,0.06,0.3372,0.04,0.3792,0.22
5,DAVIDSON,MICHELSEN.OSKAR,563:53,1010.28,71.0281,0.74,0.0405,0.71,1.1353,0.94,1.0949,0.17,0.5328,0.78,0.4552,0.92,0.1415,0.98,0.2462,0.15,0.3299,0.45,0.5204,0.32,0.3859,0.37,0.1749,0.33,0.3238,0.11,0.2713,0.89
6,DAVIDSON,REIGEL.RUSTY,486:48,818.92,67.9144,0.31,0.0542,0.73,1.1283,0.92,1.0741,0.26,0.5296,0.75,0.431,0.82,0.1563,0.92,0.2738,0.37,0.307,0.27,0.4973,0.67,0.3638,0.62,0.1407,0.01,0.2703,0.72,0.3202,0.59
7,DAVIDSON,BARHAM.JORDAN,415:18,776.12,73.814,0.95,-0.031,0.34,1.0875,0.77,1.1184,0.07,0.5318,0.77,0.4251,0.81,0.1392,0.99,0.2005,0.02,0.2995,0.21,0.5343,0.18,0.3522,0.72,0.1707,0.26,0.3212,0.11,0.2731,0.88
8,DAVIDSON,MCAULIFFE.ANDREW,383:14,655.64,68.6183,0.39,-0.0138,0.43,1.0478,0.55,1.0617,0.33,0.5009,0.42,0.4311,0.83,0.1525,0.95,0.2436,0.13,0.2723,0.06,0.5104,0.47,0.3661,0.59,0.1914,0.65,0.3411,0.03,0.2763,0.87
9,DAVIDSON,BELFORD.JAKE,134:23,255.28,75.7313,0.98,0.062,0.75,1.0655,0.67,1.0035,0.78,0.4662,0.07,0.473,0.96,0.1175,0.99,0.2333,0.09,0.3919,0.88,0.4868,0.82,0.3524,0.72,0.1983,0.76,0.3239,0.11,0.2115,0.99
10,DAVIDSON,WILLIAMS.MATT,13:15,21.4,69.6,0.54,-0.0122,0.43,0.7009,0.01,0.7131,0.99,0.3125,0.01,0.25,0.01,0.1869,0.46,0.2143,0.04,0.625,0.99,0.2778,0.99,0.5556,0.01,0.2936,0.99,0.375,0.01,0.6111,0.01
11,DAVIDSON,GIAMOUKIS.MANU,08:47,15.08,72.1,0.85,0.1008,0.86,0.4642,0.01,0.3634,0.99,0.1818,0.01,0.3636,0.45,0.1989,0.21,0.1818,0.01,0.6364,0.99,0.1786,0.99,0.5,0.01,0.218,0.95,0.3571,0.01,0.2857,0.83
12,DAVIDSON,FAINES.KAMAU,06:44,12.2,73.2,0.92,0.3689,0.99,0.5738,0.01,0.2049,0.99,0.2,0.01,0.3,0.08,0.1639,0.88,0.2222,0.05,0.5,0.99,0.0909,0.99,0.4545,0.02,0.1025,0.01,0.3333,0.06,0.3636,0.31
