,TEAM,TEAM A,TEAM B,TEAM C,TEAM D,TEAM E,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
14,DEPAUL,GAGE.DEVIN,OLUJOBI.FEMI,REED.PAUL,SHREINER.LYRIK,STRUS.MAX,17:36,32.84,76.8471,0.99,-0.2591,0.01,1.1571,0.97,1.4163,0.01,0.5,0.42,0.3448,0.26,0.0914,0.99,0.2667,0.3,0.3793,0.83,0.5333,0.19,0.3667,0.59,0.1539,0.06,0.5263,0.01,0.5667,0.01
15,DEPAUL,CAIN.ELI,GAGE.DEVIN,OLUJOBI.FEMI,REED.PAUL,SHREINER.LYRIK,16:30,25.08,66.85,0.16,-0.0994,0.17,0.9569,0.07,1.0563,0.37,0.38,0.01,0.32,0.13,0.0797,0.99,0.2941,0.59,0.28,0.1,0.5714,0.01,0.381,0.42,0.1408,0.01,0.0909,0.99,0.4762,0.01
16,DEPAUL,COLEMAN-LANDS.JALEN,GAGE.DEVIN,OLUJOBI.FEMI,REED.PAUL,STRUS.MAX,15:31,35.72,90.72,0.99,-0.4316,0.01,0.8679,0.01,1.2995,0.01,0.4231,0.01,0.5,0.98,0.224,0.02,0.2222,0.05,0.5,0.99,0.6897,0.01,0.3793,0.43,0.1238,0.01,0.1538,0.99,0.1034,0.99
17,DEPAUL,BUTZ.JAYLEN,CAIN.ELI,CAMERON.FLYNN,REED.PAUL,STRUS.MAX,13:52,26.32,75.8154,0.98,-0.1992,0.01,1.0638,0.65,1.2631,0.01,0.619,0.99,0.3333,0.19,0.266,0.01,0.2727,0.36,0.1429,0.01,0.575,0.01,0.25,0.99,0.1307,0.01,0.3077,0.23,0.45,0.02
18,DEPAUL,BUTZ.JAYLEN,CAIN.ELI,COLEMAN-LANDS.JALEN,REED.PAUL,STRUS.MAX,13:19,23.52,71.5077,0.82,-0.1037,0.15,0.6803,0.01,0.784,0.99,0.3261,0.01,0.5217,0.99,0.085,0.99,0.2381,0.12,0.3478,0.62,0.3421,0.99,0.6316,0.01,0.0436,0.01,0.0769,0.99,0.4737,0.01
19,DEPAUL,BUTZ.JAYLEN,CAIN.ELI,GAGE.DEVIN,SHREINER.LYRIK,STRUS.MAX,13:05,17.52,56.1231,0.01,-0.2471,0.01,0.9132,0.02,1.1603,0.01,0.3667,0.01,0.4,0.71,0.1712,0.75,0.3636,0.98,0.5333,0.99,0.4688,0.95,0.25,0.99,0.1055,0.01,0.3,0.33,0.5625,0.01
20,DEPAUL,BUTZ.JAYLEN,CAIN.ELI,COLEMAN-LANDS.JALEN,GAGE.DEVIN,REED.PAUL,12:56,22.4,76.7333,0.99,0.3123,0.99,1.1161,0.9,0.8037,0.99,0.5625,0.95,0.3125,0.1,0.3571,0.01,0.4615,0.99,0.625,0.99,0.5385,0.16,0.0,0.99,0.3807,0.99,0.1429,0.99,0.4615,0.01
21,DEPAUL,BUTZ.JAYLEN,CAIN.ELI,GAGE.DEVIN,OLUJOBI.FEMI,SHREINER.LYRIK,12:35,20.4,70.6,0.71,-0.2772,0.01,1.2255,0.99,1.5027,0.01,0.5294,0.75,0.1765,0.01,0.049,0.99,0.1667,0.01,0.5882,0.99,0.7222,0.01,0.4444,0.04,0.0911,0.01,0.2222,0.98,0.5,0.01
22,DEPAUL,BUTZ.JAYLEN,CAIN.ELI,GAGE.DEVIN,REED.PAUL,SHREINER.LYRIK,11:11,15.64,61.3091,0.01,0.5339,0.99,1.087,0.77,0.5531,0.99,0.5417,0.86,0.25,0.01,0.2558,0.01,0.375,0.99,0.5,0.99,0.1176,0.99,0.4706,0.01,0.1659,0.19,0.3125,0.18,0.4118,0.1
23,DEPAUL,CAIN.ELI,CAMERON.FLYNN,GAGE.DEVIN,OLUJOBI.FEMI,STRUS.MAX,11:10,19.2,67.6364,0.28,0.0347,0.67,1.1458,0.96,1.1111,0.09,0.5588,0.94,0.2353,0.01,0.2083,0.1,0.4,0.99,0.2941,0.18,0.6667,0.01,0.6,0.01,0.1667,0.21,0.0,0.99,0.0,0.99
24,DEPAUL,BUTZ.JAYLEN,CAIN.ELI,CAMERON.FLYNN,OLUJOBI.FEMI,STRUS.MAX,11:02,15.2,63.3455,0.01,0.4353,0.99,1.25,0.99,0.8147,0.99,0.8,0.99,0.3,0.08,0.2632,0.01,0.2,0.02,0.5,0.99,0.375,0.99,0.5,0.01,0.2037,0.82,0.25,0.89,0.375,0.25
25,DEPAUL,CAIN.ELI,CAMERON.FLYNN,OLUJOBI.FEMI,REED.PAUL,STRUS.MAX,10:18,18.2,68.96,0.42,0.4618,0.99,1.8132,0.99,1.3514,0.01,0.7368,0.99,0.2105,0.01,0.0549,0.99,0.6667,0.99,0.2632,0.05,0.7222,0.01,0.4444,0.04,0.2457,0.99,0.3333,0.06,1.3333,0.01
