WITH/WITHOUT,SECONDS,POSS,PACE,NET,OE,TORATE,EFGPCT,FTRATE,3PTRATE,OREBPCT,DE,OPP_TORATE,OPP_EFTPCT,OPP_FTRATE,OPP_3PTRATE,OPP_OREBPCT
WITH,50806.0,1497.960000000004,70.43640514899836,0.014260134023929671,1.0781329274479932,0.1949317738791418,0.5220994475138122,0.3228097868981847,0.3259668508287293,0.32348993288590605,1.0638727934240635,0.1785473655841525,0.5277777777777778,0.285829307568438,0.44524959742351045,0.24420190995907232
WITHOUT,6885.0,182.47999999999993,66.80958605664485,0.02447414851486096,1.030249890398948,0.2246821569487068,0.4862068965517241,0.46206896551724136,0.33793103448275863,0.33,1.0057757418840871,0.23401712806213912,0.5131578947368421,0.40131578947368424,0.3815789473684211,0.2631578947368421
ALL,59907.0,1745.440000000006,70.02293555010289,0.02584144503433916,1.0805298377486443,0.19880374003116624,0.5208049113233287,0.3417462482946794,0.3321964529331514,0.32989690721649484,1.0546883927143051,0.18454190186712924,0.5227272727272727,0.3009641873278237,0.44008264462809915,0.24971231300345226
