WITH/WITHOUT,SECONDS,POSS,PACE,NET,OE,TORATE,EFGPCT,FTRATE,3PTRATE,OREBPCT,DE,OPP_TORATE,OPP_EFTPCT,OPP_FTRATE,OPP_3PTRATE,OPP_OREBPCT
WITH,34948.0,972.2400000000004,66.71763763305484,0.12920426287129982,1.08923722537645,0.1542828931128116,0.5353293413173653,0.26467065868263473,0.47305389221556887,0.22633744855967078,0.9600329625051501,0.18644416975690148,0.473125,0.30625,0.46625,0.22823984526112184
WITHOUT,12917.0,369.3999999999999,67.81760470697529,-0.062474832146747095,0.9691391445587442,0.20573903627504064,0.5,0.1910828025477707,0.5031847133757962,0.24607329842931938,1.0316139767054913,0.1858014420410428,0.5133779264214047,0.3010033444816054,0.4280936454849498,0.2459016393442623
ALL,48300.0,1352.040000000003,66.92571428571445,0.07906637623008894,1.0576610159462716,0.16715481790479536,0.5246539792387543,0.2517301038062284,0.4826989619377163,0.2316715542521994,0.9785946397161827,0.18483737292430563,0.48243243243243245,0.3045045045045045,0.45675675675675675,0.23272214386459802
