WITH/WITHOUT,SECONDS,POSS,PACE,NET,OE,TORATE,EFGPCT,FTRATE,3PTRATE,OREBPCT,DE,OPP_TORATE,OPP_EFTPCT,OPP_FTRATE,OPP_3PTRATE,OPP_OREBPCT
WITH,36485.0,1075.2400000000002,70.87581197752505,0.016477104671764664,1.0788289126148578,0.20088538372828388,0.5121951219512195,0.3558758314855876,0.3148558758314856,0.3445692883895131,1.0623518079430931,0.18338767042086523,0.5259887005649717,0.3073446327683616,0.4214689265536723,0.23745173745173745
WITHOUT,21206.0,605.2000000000002,68.50287654437426,0.01514800018272533,1.062458691341705,0.19332452081956372,0.5294117647058824,0.30392156862745096,0.34901960784313724,0.28938906752411575,1.0473106911589796,0.18831769525571557,0.5265225933202358,0.2829076620825147,0.4675834970530452,0.26129032258064516
ALL,59907.0,1745.440000000006,70.02293555010289,0.02584144503433916,1.0805298377486443,0.19880374003116624,0.5208049113233287,0.3417462482946794,0.3321964529331514,0.32989690721649484,1.0546883927143051,0.18454190186712924,0.5227272727272727,0.3009641873278237,0.44008264462809915,0.24971231300345226
