WITH/WITHOUT,SECONDS,POSS,PACE,NET,OE,TORATE,EFGPCT,FTRATE,3PTRATE,OREBPCT,DE,OPP_TORATE,OPP_EFTPCT,OPP_FTRATE,OPP_3PTRATE,OPP_OREBPCT
WITH,42504.0,1246.3600000000024,70.60417843026552,-0.014634676379779998,1.0695144260085347,0.1909560640585381,0.5117702448210922,0.3239171374764595,0.3239171374764595,0.3213166144200627,1.0841491023883147,0.18255157679920886,0.5447976878612717,0.28998073217726394,0.44701348747591524,0.24126455906821964
WITHOUT,15187.0,434.0799999999998,68.3226443668927,0.10504419638187334,1.0827497235532626,0.21885366752672328,0.5385714285714286,0.37714285714285717,0.33714285714285713,0.3333333333333333,0.9777055271713893,0.19275429633070143,0.47191011235955055,0.32303370786516855,0.41292134831460675,0.2599118942731278
ALL,59907.0,1745.440000000006,70.02293555010289,0.02584144503433916,1.0805298377486443,0.19880374003116624,0.5208049113233287,0.3417462482946794,0.3321964529331514,0.32989690721649484,1.0546883927143051,0.18454190186712924,0.5227272727272727,0.3009641873278237,0.44008264462809915,0.24971231300345226
