WITH/WITHOUT,SECONDS,POSS,PACE,NET,OE,TORATE,EFGPCT,FTRATE,3PTRATE,OREBPCT,DE,OPP_TORATE,OPP_EFTPCT,OPP_FTRATE,OPP_3PTRATE,OPP_OREBPCT
WITH,48974.0,1478.560000000005,72.29011312124827,0.019434967099942746,1.0814576344551419,0.17787577102045174,0.5106820049301561,0.3894823336072309,0.38783894823336074,0.2845528455284553,1.0620226673551991,0.16443345201532833,0.5051140833988985,0.30527143981117233,0.3996852871754524,0.2756827048114434
WITHOUT,16324.0,495.9599999999998,73.87895123744177,0.1392315443911748,1.1371884829421732,0.1955802887329624,0.5608591885441527,0.3198090692124105,0.3937947494033413,0.33617021276595743,0.9979569385509984,0.1650165016501651,0.503562945368171,0.2755344418052256,0.43942992874109266,0.1843137254901961
ALL,66298.0,2004.000000000009,72.72545174816773,0.04660695887614685,1.090818363273448,0.18463073852295325,0.5221078134463961,0.37855844942459116,0.38764385221078135,0.29584599797365757,1.0442114043973012,0.1643528173350008,0.5046484601975596,0.2957582800697269,0.40906449738524114,0.2519230769230769
