,TEAM,TEAM A,TEAM B,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
18,GEORGETOWN,MCCLUNG.MAC,MOURNING.TREY,215:18,391.72,72.3386,0.87,-0.0415,0.31,1.0365,0.49,1.0779,0.24,0.5213,0.67,0.3567,0.37,0.1966,0.24,0.2737,0.37,0.2683,0.05,0.5273,0.24,0.4511,0.02,0.184,0.49,0.3182,0.14,0.1954,0.99
19,GEORGETOWN,MOURNING.TREY,PICKETT.JAMORKO,203:57,370.24,72.9143,0.91,0.0016,0.54,0.9912,0.21,0.9896,0.88,0.4901,0.28,0.3882,0.61,0.1864,0.46,0.2368,0.11,0.3158,0.34,0.4906,0.78,0.4748,0.01,0.1758,0.34,0.2602,0.83,0.2704,0.9
20,GEORGETOWN,BLAIR.JAHVON,GOVAN.JESSIE,199:54,366.76,72.3377,0.87,0.0534,0.73,1.1724,0.98,1.119,0.07,0.5794,0.98,0.4189,0.79,0.1718,0.75,0.2917,0.53,0.4358,0.98,0.5173,0.36,0.4057,0.2,0.1275,0.01,0.2714,0.71,0.3145,0.63
21,GEORGETOWN,AKINJO.JAMES,MOSELY.JAGAN,193:36,327.12,70.5617,0.7,0.1104,0.89,1.1647,0.98,1.0543,0.38,0.5202,0.65,0.3787,0.57,0.1376,0.99,0.2635,0.29,0.4522,0.99,0.5083,0.5,0.4033,0.22,0.1668,0.21,0.2597,0.83,0.3167,0.62
22,GEORGETOWN,GOVAN.JESSIE,MOURNING.TREY,189:12,341.12,71.5979,0.82,-0.0034,0.49,1.0905,0.79,1.094,0.18,0.54,0.85,0.3709,0.5,0.1788,0.6,0.2468,0.15,0.3564,0.7,0.521,0.32,0.4434,0.04,0.161,0.12,0.3132,0.17,0.2168,0.99
23,GEORGETOWN,GOVAN.JESSIE,JOHNSON.KALEB,182:33,314.24,70.756,0.71,0.035,0.67,1.1393,0.95,1.1042,0.12,0.5451,0.89,0.3609,0.41,0.1846,0.5,0.3333,0.88,0.3609,0.72,0.5225,0.31,0.3806,0.42,0.1395,0.01,0.2515,0.88,0.2803,0.86
24,GEORGETOWN,BLAIR.JAHVON,LEBLANC.JOSH,181:49,320.32,71.2884,0.78,0.2177,0.98,1.2644,0.99,1.0467,0.43,0.6385,0.99,0.45,0.9,0.1811,0.55,0.3116,0.73,0.3962,0.89,0.513,0.44,0.4593,0.01,0.1632,0.16,0.2195,0.99,0.3185,0.6
25,GEORGETOWN,AKINJO.JAMES,BLAIR.JAHVON,173:16,318.0,71.889,0.84,0.0289,0.63,1.1447,0.96,1.1157,0.08,0.5522,0.93,0.49,0.98,0.1604,0.9,0.2387,0.12,0.502,0.99,0.4906,0.78,0.397,0.27,0.1448,0.01,0.32,0.12,0.4157,0.08
26,GEORGETOWN,JOHNSON.KALEB,MOSELY.JAGAN,169:16,296.48,72.4734,0.88,0.0999,0.84,1.1603,0.98,1.0604,0.33,0.5266,0.71,0.3802,0.57,0.1585,0.91,0.3418,0.92,0.3498,0.63,0.5156,0.39,0.4141,0.15,0.1804,0.43,0.2533,0.87,0.3633,0.31
27,GEORGETOWN,BLAIR.JAHVON,MOSELY.JAGAN,160:14,287.96,71.935,0.84,0.0678,0.75,1.1564,0.97,1.0886,0.2,0.5768,0.98,0.4398,0.86,0.1702,0.77,0.2826,0.44,0.3485,0.63,0.5373,0.17,0.4667,0.01,0.1287,0.01,0.2055,0.99,0.2275,0.99
