WITH/WITHOUT,SECONDS,POSS,PACE,NET,OE,TORATE,EFGPCT,FTRATE,3PTRATE,OREBPCT,DE,OPP_TORATE,OPP_EFTPCT,OPP_FTRATE,OPP_3PTRATE,OPP_OREBPCT
WITH,50190.0,1454.600000000004,69.49719067543356,0.05118845209654532,1.0758971538567275,0.19524267839955947,0.5208503679476697,0.339329517579722,0.32788225674570726,0.3201634877384196,1.0247087017601821,0.18937828829573258,0.5112219451371571,0.2892768079800499,0.44305901911886947,0.24554183813443073
WITHOUT,7501.0,225.83999999999995,73.39181442474334,-0.20409921227394867,1.0538434289762666,0.21696776478923135,0.5026455026455027,0.32275132275132273,0.32275132275132273,0.35135135135135137,1.2579426412502153,0.15885282500429337,0.6204188481675392,0.35602094240837695,0.4083769633507853,0.25252525252525254
ALL,59907.0,1745.440000000006,70.02293555010289,0.02584144503433916,1.0805298377486443,0.19880374003116624,0.5208049113233287,0.3417462482946794,0.3321964529331514,0.32989690721649484,1.0546883927143051,0.18454190186712924,0.5227272727272727,0.3009641873278237,0.44008264462809915,0.24971231300345226
