WITH/WITHOUT,SECONDS,POSS,PACE,NET,OE,TORATE,EFGPCT,FTRATE,3PTRATE,OREBPCT,DE,OPP_TORATE,OPP_EFTPCT,OPP_FTRATE,OPP_3PTRATE,OPP_OREBPCT
WITH,49178.0,1485.7600000000043,72.32990361543804,0.035791217766586225,1.1044852466077935,0.18441740254145972,0.5317589576547231,0.3697068403908795,0.3754071661237785,0.3025210084033613,1.0686940288412072,0.15421660669354129,0.5135344160866203,0.271461716937355,0.3952049497293117,0.25617685305591675
WITHOUT,16120.0,488.75999999999976,73.77766749379649,0.09054427427275136,1.068008838693838,0.17595547917178173,0.4987745098039216,0.37745098039215685,0.43137254901960786,0.28185328185328185,0.9774645644210866,0.1950947603121517,0.47619047619047616,0.38345864661654133,0.45614035087719296,0.24313725490196078
ALL,66298.0,2004.000000000009,72.72545174816773,0.04660695887614685,1.090818363273448,0.18463073852295325,0.5221078134463961,0.37855844942459116,0.38764385221078135,0.29584599797365757,1.0442114043973012,0.1643528173350008,0.5046484601975596,0.2957582800697269,0.40906449738524114,0.2519230769230769
