WITH/WITHOUT,SECONDS,POSS,PACE,NET,OE,TORATE,EFGPCT,FTRATE,3PTRATE,OREBPCT,DE,OPP_TORATE,OPP_EFTPCT,OPP_FTRATE,OPP_3PTRATE,OPP_OREBPCT
WITH,14768.0,430.8799999999998,70.50487540628383,0.08020046545854209,1.018845154103231,0.19030820646119578,0.4889196675900277,0.3518005540166205,0.4099722991689751,0.2943722943722944,0.938644688644689,0.22435897435897445,0.49855907780979825,0.2737752161383285,0.44668587896253603,0.22935779816513763
WITHOUT,42923.0,1249.5600000000018,69.83109288726335,-0.006762234180686111,1.0915842376516518,0.20087070648868374,0.5285442435775451,0.33206470028544244,0.2987630827783064,0.3355048859934853,1.098346471832338,0.17144138947638243,0.5353390639923591,0.30659025787965616,0.4355300859598854,0.25245901639344265
ALL,59907.0,1745.440000000006,70.02293555010289,0.02584144503433916,1.0805298377486443,0.19880374003116624,0.5208049113233287,0.3417462482946794,0.3321964529331514,0.32989690721649484,1.0546883927143051,0.18454190186712924,0.5227272727272727,0.3009641873278237,0.44008264462809915,0.24971231300345226
