WITH/WITHOUT,SECONDS,POSS,PACE,NET,OE,TORATE,EFGPCT,FTRATE,3PTRATE,OREBPCT,DE,OPP_TORATE,OPP_EFTPCT,OPP_FTRATE,OPP_3PTRATE,OPP_OREBPCT
WITH,34932.0,1078.1200000000013,73.26142219168678,0.028159930755874196,1.0722368567506388,0.1882907283048267,0.5049833887043189,0.3576965669988926,0.3532668881506091,0.31539888682745826,1.0440769259947646,0.1773318666312634,0.5161830357142857,0.26004464285714285,0.421875,0.2524084778420039
WITHOUT,30366.0,896.4000000000003,72.02687215965227,0.07613764399067668,1.1233824185631411,0.17514502454261485,0.5463847203274216,0.3888130968622101,0.43383356070941337,0.27419354838709675,1.0472447745724645,0.15006909656244594,0.49183417085427134,0.34045226130653267,0.3957286432160804,0.25346534653465347
ALL,66298.0,2004.000000000009,72.72545174816773,0.04660695887614685,1.090818363273448,0.18463073852295325,0.5221078134463961,0.37855844942459116,0.38764385221078135,0.29584599797365757,1.0442114043973012,0.1643528173350008,0.5046484601975596,0.2957582800697269,0.40906449738524114,0.2519230769230769
