,TEAM,TEAM A,TEAM B,TEAM C,TEAM D,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
22,VIRGINIA,HUNTER.DE'ANDRE,JEROME.TY,KEY.BRAXTON,SALT.JACK,94:20,146.76,60.5702,0.01,0.171,0.97,1.1788,0.98,1.0078,0.76,0.4929,0.31,0.4113,0.76,0.1022,0.99,0.3837,0.99,0.383,0.84,0.5093,0.49,0.4815,0.01,0.232,0.99,0.2958,0.38,0.3981,0.14
23,VIRGINIA,CLARK.KIHEI,GUY.KYLE,KEY.BRAXTON,SALT.JACK,90:16,133.24,61.2089,0.01,0.2608,0.99,1.1258,0.92,0.865,0.99,0.5588,0.94,0.3529,0.34,0.1576,0.92,0.254,0.19,0.1765,0.01,0.4478,0.98,0.2957,0.99,0.218,0.95,0.2208,0.99,0.2609,0.93
24,VIRGINIA,GUY.KYLE,HUFF.JAY,HUNTER.DE'ANDRE,JEROME.TY,87:09,134.64,58.6299,0.01,0.4634,0.99,1.4186,0.99,0.9551,0.96,0.6967,0.99,0.4508,0.9,0.1188,0.99,0.2982,0.61,0.2541,0.03,0.45,0.98,0.38,0.43,0.1993,0.77,0.2754,0.66,0.35,0.38
25,VIRGINIA,CLARK.KIHEI,DIAKITE.MAMADI,HUNTER.DE'ANDRE,KEY.BRAXTON,83:09,121.52,57.9277,0.01,0.3295,0.99,1.0698,0.69,0.7402,0.99,0.4907,0.28,0.2523,0.01,0.1317,0.99,0.2581,0.24,0.3084,0.27,0.3491,0.99,0.4245,0.11,0.1935,0.68,0.275,0.68,0.2547,0.95
26,VIRGINIA,CLARK.KIHEI,DIAKITE.MAMADI,JEROME.TY,KEY.BRAXTON,82:08,120.68,59.0829,0.01,0.1224,0.92,1.0027,0.27,0.8802,0.99,0.464,0.05,0.4144,0.78,0.1243,0.99,0.2308,0.08,0.1982,0.01,0.4306,0.99,0.3981,0.26,0.1974,0.74,0.3134,0.17,0.2222,0.99
27,VIRGINIA,GUY.KYLE,HUFF.JAY,HUNTER.DE'ANDRE,KEY.BRAXTON,80:43,121.28,59.78,0.01,0.4435,0.99,1.377,0.99,0.9335,0.99,0.6893,0.99,0.4272,0.82,0.1649,0.87,0.3462,0.95,0.3592,0.72,0.4421,0.99,0.3684,0.57,0.2122,0.91,0.2727,0.7,0.3789,0.23
28,VIRGINIA,CLARK.KIHEI,GUY.KYLE,HUFF.JAY,HUNTER.DE'ANDRE,72:10,109.2,60.8444,0.01,0.2252,0.99,1.1538,0.96,0.9286,0.99,0.6265,0.99,0.3494,0.3,0.2015,0.18,0.2571,0.24,0.3614,0.73,0.4877,0.82,0.4198,0.12,0.2185,0.95,0.1964,0.99,0.4444,0.03
29,VIRGINIA,CLARK.KIHEI,GUY.KYLE,HUFF.JAY,JEROME.TY,68:39,108.12,63.2588,0.01,0.3785,0.99,1.3041,0.99,0.9256,0.99,0.6889,0.99,0.4444,0.88,0.148,0.97,0.2286,0.08,0.2556,0.03,0.4877,0.82,0.4198,0.12,0.1963,0.73,0.1887,0.99,0.4198,0.07
30,VIRGINIA,CLARK.KIHEI,GUY.KYLE,HUFF.JAY,KEY.BRAXTON,68:00,100.44,61.1059,0.01,0.5813,0.99,1.364,0.99,0.7827,0.99,0.7375,0.99,0.4,0.71,0.1792,0.58,0.2727,0.36,0.325,0.42,0.4231,0.99,0.4231,0.12,0.2329,0.99,0.1538,0.99,0.359,0.33
31,VIRGINIA,CLARK.KIHEI,HUFF.JAY,HUNTER.DE'ANDRE,KEY.BRAXTON,67:00,99.2,61.0149,0.01,0.2954,0.99,1.1794,0.98,0.884,0.99,0.62,0.99,0.32,0.13,0.1915,0.34,0.2286,0.08,0.4,0.9,0.4329,0.99,0.4268,0.11,0.2091,0.89,0.2182,0.99,0.3659,0.3
32,VIRGINIA,GUY.KYLE,HUFF.JAY,JEROME.TY,KEY.BRAXTON,64:00,97.0,59.0625,0.01,0.5796,0.99,1.5361,0.99,0.9565,0.96,0.75,0.99,0.5114,0.99,0.1031,0.99,0.2727,0.36,0.2841,0.13,0.4367,0.99,0.3291,0.88,0.1848,0.51,0.3,0.33,0.3165,0.62
33,VIRGINIA,CLARK.KIHEI,JEROME.TY,KEY.BRAXTON,SALT.JACK,63:49,96.48,61.5238,0.01,0.1935,0.97,0.9847,0.18,0.7912,0.99,0.4942,0.34,0.3953,0.67,0.1451,0.98,0.2157,0.04,0.1977,0.01,0.4275,0.99,0.3768,0.45,0.2569,0.99,0.1765,0.99,0.4058,0.12
34,VIRGINIA,HUFF.JAY,HUNTER.DE'ANDRE,JEROME.TY,KEY.BRAXTON,61:32,89.12,57.2328,0.01,0.2575,0.99,1.3577,0.99,1.1002,0.15,0.6582,0.99,0.481,0.98,0.1122,0.99,0.2326,0.09,0.2911,0.16,0.4675,0.95,0.3896,0.34,0.1522,0.06,0.3333,0.06,0.3377,0.45
